Product URL,Image URL,SKUs
https://www.anipet.co.il/product/22294/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A7%D7%9C%D7%99%D7%A8-%D7%A7%D7%98-10,https://cdn.modulus.co.il/anipet/5554027.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010690179001"""
https://www.anipet.co.il/product/13793/--%D7%9E%D7%A6%D7%A2-%D7%9E%D7%AA%D7%92%D7%91%D7%A9--%D7%91%D7%A1%D7%99%D7%A1%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%95%D7%95%D7%A8%D7%9C%D7%93-%D7%91%D7%A1%D7%98-%D7%99%D7%A8%D7%95%D7%A7,https://cdn.modulus.co.il/anipet/חול%20ירוק%20חדש.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""322591001052, 322591001083"""
https://www.anipet.co.il/product/14095/%D7%A8%D7%95%D7%99%D7%90%D7%9C-%D7%A7%D7%A0%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%92%D7%95%D7%A8%D7%99-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%9E%D7%92%D7%96%D7%A2-%D7%91%D7%99%D7%A0%D7%95%D7%A0%D7%99,https://cdn.modulus.co.il/anipet/פאפי%20מדיום.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""3182550000000, 600, 849"""
https://www.anipet.co.il/product/14106/%D7%A8%D7%95%D7%99%D7%90%D7%9C-%D7%A7%D7%A0%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%92%D7%95%D7%A8%D7%99-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%9E%D7%92%D7%96%D7%A2-%D7%92%D7%93%D7%95%D7%9C,https://cdn.modulus.co.il/anipet/מקסי%20פאפי.png?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""3182550402163"""
https://www.anipet.co.il/product/13809/%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%97%D7%A6%D7%A5-%D7%A0%D7%A9%D7%98%D7%A3-%D7%9C%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%99%D7%9D,https://cdn.modulus.co.il/anipet/CatGenie_Washable_Granules_Case1.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""891329001027"""
https://www.anipet.co.il/product/13810/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%91%D7%A2%D7%9C%D7%99-%D7%A2%D7%95%D7%A8-%D7%A8%D7%92%D7%99%D7%A9-%D7%A7%D7%99%D7%91%D7%94-%D7%A8%D7%92%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F,https://cdn.modulus.co.il/anipet/בוגר%20עור%20וקיבה%20רגישה%2014%20קג.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1876, 52742026091"""
https://www.anipet.co.il/product/13811/%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%9E%D7%99%D7%9B%D7%9C-%D7%94%D7%93%D7%97%D7%94-%D7%A8%D7%91-%D7%A4%D7%A2%D7%9E%D7%99-%D7%A8%D7%99%D7%97%D7%A0%D7%99,https://cdn.modulus.co.il/anipet/CatGenieSmartCartidge1.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""891329001232"""
https://www.anipet.co.il/product/13812/%D7%97%D7%95%D7%9E%D7%A8-%D7%A0%D7%99%D7%A7%D7%95%D7%99-%D7%9C%D7%AA%D7%97%D7%96%D7%95%D7%A7%D7%AA-%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99-%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,https://cdn.modulus.co.il/anipet/CatGenieMachineMaintenance.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""891329001386"""
https://www.anipet.co.il/product/13813/%D7%A9%D7%91%D7%91%D7%99-%D7%A2%D7%A5-%D7%9C%D7%9E%D7%9B%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%95%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%A7%D7%98%D7%A1-%D7%91%D7%A1%D7%98-%D7%9B%D7%97%D7%95%D7%9C,https://cdn.modulus.co.il/anipet/5551239_Enlarge(2).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4002973000465, 4002973000847"""
https://www.anipet.co.il/product/13814/%D7%A9%D7%91%D7%91%D7%99-%D7%A2%D7%A5-%D7%9E%D7%AA%D7%92%D7%91%D7%A9%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%A7%D7%98%D7%A1-%D7%91%D7%A1%D7%98-%D7%90%D7%93%D7%95%D7%9D-,https://cdn.modulus.co.il/anipet/קטבסט%20אדום.jpeg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4002973000861, 4002973302415"""
